inv	class	pvalue	obs	mean_enrich	median_enrich	lower95_enrich	upper95_enrich	lower90_enrich	upper90_enrich	mean_obs_grt_perm	pvalue_obs_grt_perm	chrom	pvaluelabel	sig_lower90
In(3R)K	bkpts	0.00316227766016838	0.0127725170667254	1.60746990219143	1.58181818181818	1.03544272401942	2.38356164383562	1.09399764150943	2.23221778221778	489	0.0239520958083832	3R	*	*
In(3R)K	bkpts	0.00177827941003892	0.00763414813183587	1.56052031031649	1.52941176470588	0.923992413466098	2.47619047619048	0.99952380952381	2.36363636363636	472	0.0578842315369262	3R	.	
In(3R)K	bkpts	0.001	0.00455112677090215	1.51768772418371	1.44186046511628	0.826666666666667	2.53425	0.91046218487395	2.38461538461539	447	0.107784431137725	3R		
In(3R)K	bkpts	0.000562341325190349	0.00315642663143214	1.73896483192134	1.59259259259259	0.868336734693878	3.30769230769231	0.955555555555556	3.07142857142857	464	0.0738522954091816	3R	.	
In(3R)K	bkpts	0.000316227766016838	0.00249577919694634	2.3143824523299	2	1.01439393939394	4.85714285714286	1.13333333333333	4.25	487	0.0279441117764471	3R	*	*
In(3R)K	bkpts	0.000177827941003892	0.0016883212214637	2.79164225521986	2.3	1.04545454545455	7.66666666666667	1.21052631578947	5.75	491	0.0199600798403194	3R	*	*
In(3R)K	bkpts	1e-04	0.000660647434485796	Inf	1.5	0.5803125	9	0.692307692307692	4.5	368	0.265469061876248	3R		
In(3R)K	bkpts	0.003894319	0.015488512075167	1.63927195530424	1.59848484848485	1.07106598984772	2.46864227086183	1.1283422459893	2.24588766872569	491	0.0199600798403194	3R	*	*
In(3R)Mo	bkpts	1	1	1	1	1	1	1	1	0	1	3R		
In(3R)Mo	bkpts	0.562341325190349	0.597189200612881	0.988570687516086	0.989451571029357	0.951815656095206	1.01696670816141	0.959275651998106	1.01336297942127	113	0.774451097804391	3R		
In(3R)Mo	bkpts	0.316227766016838	0.360595974005389	0.975874814415648	0.979056109661026	0.900927662394011	1.03296084468307	0.912049478375015	1.02280903317287	112	0.776447105788423	3R		
In(3R)Mo	bkpts	0.177827941003892	0.222592064246843	0.978635887999138	0.981936850533914	0.857312031367378	1.06342063303528	0.882165517165998	1.0472414552425	182	0.636726546906188	3R		
In(3R)Mo	bkpts	0.1	0.137422729434142	0.978358705808276	0.981509433962264	0.819261180553571	1.0922036298783	0.850695443246078	1.0757269054114	197	0.606786427145709	3R		
In(3R)Mo	bkpts	0.0562341325190349	0.0856976805621599	0.986670262115214	0.989024390243902	0.791347271403601	1.14026622604529	0.822335895484526	1.11869794246523	224	0.552894211576846	3R		
In(3R)Mo	bkpts	0.0316227766016838	0.0524118983462778	0.97377306640878	0.978303747534517	0.743600731643585	1.15017865160383	0.770096848223006	1.12733684972593	202	0.596806387225549	3R		
In(3R)Mo	bkpts	0.0177827941003892	0.031964917842236	0.960450855305892	0.961844197138315	0.701617440225035	1.16807075800435	0.733200483091787	1.14161732710347	186	0.62874251497006	3R		
In(3R)Mo	bkpts	0.01	0.0207639879537169	1.0113993408846	1.01288659793814	0.696161033703634	1.27619461750103	0.73733583489681	1.24761904761905	269	0.463073852295409	3R		
In(3R)Mo	bkpts	0.00562341325190349	0.0125217942621652	0.987997152354727	0.9875	0.645776566757493	1.31365568788753	0.688655669861269	1.25396825396825	228	0.544910179640719	3R		
In(3R)Mo	bkpts	0.00316227766016838	0.00861203571617266	1.09955156447513	1.0794701986755	0.684634533898305	1.5377358490566	0.727197726557583	1.41801296720061	342	0.317365269461078	3R		
In(3R)Mo	bkpts	0.00177827941003892	0.0053362920695303	1.10654285727734	1.09782608695652	0.655844155844156	1.62903225806452	0.706048465423465	1.50860470375396	325	0.351297405189621	3R		
In(3R)Mo	bkpts	0.001	0.00369842024620912	1.24400815429809	1.2280701754386	0.710497835497836	1.89189189189189	0.769230769230769	1.84210526315789	387	0.227544910179641	3R		
In(3R)Mo	bkpts	0.000562341325190349	0.00248322502245469	1.37521536277495	1.30555555555556	0.717325174825175	2.35	0.795946327683616	2.13636363636364	413	0.17564870259481	3R		
In(3R)Mo	bkpts	0.000316227766016838	0.00158503724837534	1.44784476930363	1.36363636363636	0.714285714285714	2.72727272727273	0.789473684210526	2.30769230769231	409	0.183632734530938	3R		
In(3R)Mo	bkpts	0.000177827941003892	0.00121519522375442	1.93279952008101	1.76923076923077	0.779224137931035	4.6	0.92	3.83333333333333	460	0.0818363273453094	3R	.	
In(3R)Mo	bkpts	1e-04	0.000792518624187668	Inf	1.875	0.75	7.5	0.882352941176471	5	447	0.107784431137725	3R		
In(3R)Mo	bkpts	0.003894319	0.00993290008981878	1.06453664876665	1.04736188702669	0.668928571428571	1.45801682692308	0.72518135018135	1.37276728209532	314	0.373253493013972	3R		
In(3R)P	bkpts	1	1	1	1	1	1	1	1	0	1	3R		
In(3R)P	bkpts	0.562341325190349	0.613567773258103	1.02033369450862	1.02118367673152	0.990772469707716	1.04526656979993	0.996260828174942	1.04096170970614	468	0.0658682634730539	3R	.	
In(3R)P	bkpts	0.316227766016838	0.378165595066264	1.03464129159282	1.03594536304817	0.974298285531784	1.08654278444379	0.986977852591389	1.07798765662989	451	0.0998003992015968	3R	.	
In(3R)P	bkpts	0.177827941003892	0.234680488124918	1.04965260871796	1.05252319476992	0.958380793055603	1.12597760517285	0.980443385202918	1.11403527055143	444	0.11377245508982	3R		
In(3R)P	bkpts	0.1	0.145453352578402	1.06044801447358	1.06433029284686	0.935968349026165	1.16413162599066	0.970155926020459	1.14813953145166	427	0.147704590818363	3R		
In(3R)P	bkpts	0.0562341325190349	0.0909985566198662	1.07991545558292	1.08359375	0.929564027923776	1.22532009336495	0.95516846279476	1.20300104046208	431	0.139720558882236	3R		
In(3R)P	bkpts	0.0316227766016838	0.0548484450859467	1.05717770492288	1.05289672544081	0.874747962670873	1.23581870067213	0.917622575923893	1.20817990179266	365	0.271457085828343	3R		
In(3R)P	bkpts	0.0177827941003892	0.0339850413331584	1.06370816703458	1.05070993914807	0.844837928464978	1.295	0.88380871119779	1.26681484774394	361	0.279441117764471	3R		
In(3R)P	bkpts	0.01	0.0208634037527883	1.06538599991928	1.04605263157895	0.817480719794344	1.36480686695279	0.85254691689008	1.31432221117246	329	0.343313373253493	3R		
In(3R)P	bkpts	0.00562341325190349	0.0129248130166645	1.07049971504072	1.0506741381272	0.769277604834279	1.4330067174442	0.824267782426778	1.35862068965517	314	0.373253493013972	3R		
In(3R)P	bkpts	0.00316227766016838	0.00820102348773127	1.1063249772827	1.08695652173913	0.748502994011976	1.55333719135802	0.816993464052287	1.45348837209302	330	0.341317365269461	3R		
In(3R)P	bkpts	0.00177827941003892	0.00511743865634431	1.1306228597128	1.11428571428571	0.739177897574124	1.64315159574468	0.772277227722772	1.56	341	0.31936127744511	3R		
In(3R)P	bkpts	0.001	0.00314919301928881	1.13657587622854	1.09090909090909	0.685714285714286	1.77777777777778	0.727272727272727	1.6551724137931	321	0.359281437125749	3R		
In(3R)P	bkpts	0.000562341325190349	0.0019682456370555	1.17636587249794	1.11111111111111	0.618303571428572	2.075	0.697674418604651	1.76470588235294	317	0.367265469061876	3R		
In(3R)P	bkpts	0.000316227766016838	0.00150898832174255	1.52205147793166	1.35294117647059	0.741510416666667	3.09062499999999	0.821428571428572	2.55555555555556	410	0.181636726546906	3R		
In(3R)P	bkpts	0.000177827941003892	0.0010497310064296	1.88900334514102	1.6	0.727272727272727	4.69999999999997	0.842105263157895	3.23999999999996	424	0.153692614770459	3R		
In(3R)P	bkpts	1e-04	0.000721690066920352	Inf	1.83333333333333	0.758214285714286	11	0.846153846153846	5.5	436	0.129740518962076	3R		
In(3R)P	bkpts	0.003894319	0.0102348773126886	1.15673219659982	1.14705882352941	0.803937823834197	1.6170425257732	0.861878453038674	1.48571428571429	385	0.231536926147705	3R		
In(2L)t	exterior	1	1	1	1	1	1	1	1	0	1	2L		
In(2L)t	exterior	0.562341325190349	0.610555672490002	1.01639423379569	1.01720473890891	0.995300474325849	1.03264449835135	1.00003641482254	1.02964361598492	475	0.0518962075848303	2L	.	*
In(2L)t	exterior	0.316227766016838	0.376131340770364	1.03005861442767	1.03295822388536	0.983476307958516	1.06465886667951	0.992237897011008	1.05955100217131	455	0.0918163672654691	2L	.	
In(2L)t	exterior	0.177827941003892	0.236029256998527	1.05770703663604	1.0611963648317	0.984985812847396	1.1128831735063	1.00011977594778	1.10361286735675	475	0.0518962075848303	2L	.	*
In(2L)t	exterior	0.1	0.147587350031572	1.07788893814397	1.08357822758114	0.977794121066716	1.15865105878765	0.994887229767368	1.14648142213487	468	0.0658682634730539	2L	.	
In(2L)t	exterior	0.0562341325190349	0.0916649126499684	1.08886523082523	1.09556185896328	0.961968339238412	1.18579244123107	0.984859572244717	1.17537562848023	457	0.0878243512974052	2L	.	
In(2L)t	exterior	0.0316227766016838	0.0574221216585982	1.10744839396399	1.11172826806403	0.952587715060678	1.23325100441861	0.975228026097834	1.21155425706112	458	0.0858283433133733	2L	.	
In(2L)t	exterior	0.0177827941003892	0.0362949905283098	1.13634677257807	1.14177901741567	0.962860064709478	1.28634503281829	0.981170492732069	1.26107820367388	462	0.0778443113772455	2L	.	
In(2L)t	exterior	0.01	0.0222453167754157	1.12906686994932	1.13266358737463	0.918498471401984	1.30584389823642	0.947798591663616	1.2755390925013	447	0.107784431137725	2L		
In(2L)t	exterior	0.00562341325190349	0.0133787623658177	1.09988741189775	1.1030804081205	0.873720427665482	1.29153718735476	0.909412990876791	1.26672538981647	415	0.171656686626747	2L		
In(2L)t	exterior	0.00316227766016838	0.00859029677962534	1.14188401366869	1.14168348161521	0.889686445887342	1.37768379749833	0.924846595458789	1.3408985833848	422	0.157684630738523	2L		
In(2L)t	exterior	0.00177827941003892	0.0050910334666386	1.09923023050537	1.09328505551017	0.825192479958209	1.36752714511284	0.867361583659989	1.32539477089178	379	0.243512974051896	2L		
In(2L)t	exterior	0.001	0.00330193643443486	1.15749437350888	1.1567428928375	0.846507975305449	1.49936712496192	0.877526622592143	1.42619452274402	410	0.181636726546906	2L		
In(2L)t	exterior	0.000562341325190349	0.00201273416122921	1.14655617890586	1.13337806075914	0.790647844539722	1.55380474197845	0.836109018032442	1.48551505763733	391	0.219560878243513	2L		
In(2L)t	exterior	0.000316227766016838	0.00136813302462639	1.27196745198979	1.25309446584486	0.82857743282116	1.76281679325316	0.888934493323043	1.67746459149517	443	0.115768463073852	2L		
In(2L)t	exterior	0.000177827941003892	0.000894548516101873	1.36014750799012	1.33338595383428	0.855161626324838	2.12507058546885	0.906725706868729	1.89170916607364	453	0.0958083832335329	2L	.	
In(2L)t	exterior	1e-04	0.000591980635655651	1.49716758229195	1.40634249697432	0.890782165055035	2.50010030782993	0.937548715073143	2.25014799515891	463	0.0758483033932136	2L	.	
In(2L)t	exterior	0.003894319	0.0101162913070932	1.13056494652289	1.12925887037925	0.890577475125254	1.34225024553159	0.920807158475638	1.31679901045526	422	0.157684630738523	2L		
In(2R)NS	exterior	1	0.999981883893876	0.999990289754812	0.999990941864889	0.999981883893876	1.00000000032821	0.999981883893876	1.00000000032821	46	0.908183632734531	2R		
