region	concord	N	jointquantile	se	inv	class	chrom	lower95	upper95	binom_p	binom_lowerCI	binom_upperCI	pvaluelabel
In(2L)t_bkpts	0.916083916083916	143	0.05	0.0231858069040548	In(2L)t	bkpts	2L	0.870639734551969	0.961528097615863	9.36206663273079e-27	0.867583787371328	1	*
In(2R)NS_bkpts	0.625	24	0.05	0.0988211768802619	In(2R)NS	bkpts	2R	0.431310493314687	0.818689506685313	0.153728127479553	0.437107071219199	1	
In(3L)P_bkpts	0.5	24	0.05	0.102062072615966	In(3L)P	bkpts	3L	0.299958337672707	0.700041662327293	0.580590128898621	0.319421022361081	1	
In(3R)K_bkpts	0.858974358974359	78	0.05	0.0394086756033113	In(3R)K	bkpts	3R	0.781733354791869	0.936215363156849	3.05915522762027e-11	0.777381038330438	1	*
In(3R)Mo_bkpts	0.702380952380952	84	0.05	0.0498858160623527	In(3R)Mo	bkpts	3R	0.604604752898741	0.800157151863163	0.000133225543486018	0.609793541375508	1	*
In(3R)P_bkpts	0.808695652173913	115	0.05	0.0366780344560044	In(3R)P	bkpts	3R	0.736806704640144	0.880584599707682	7.03606560837768e-12	0.738233098028811	1	*
In(2L)t_exterior	0.668449197860963	187	0.05	0.0344261487903418	In(2L)t	exterior	2L	0.600973946231893	0.735924449490033	2.38036823355065e-06	0.607413776829946	1	*
In(2R)NS_exterior	0.507352941176471	136	0.05	0.0428700099356504	In(2R)NS	exterior	2R	0.423327721702596	0.591378160650346	0.465853807575498	0.433575687889047	1	
In(3L)P_exterior	0.385542168674699	83	0.05	0.0534248041359777	In(3L)P	exterior	3L	0.280829552568183	0.490254784781215	0.986232910993853	0.295893987055783	1	
In(3R)K_exterior	0.651428571428571	175	0.05	0.0360213736356706	In(3R)K	exterior	3R	0.580826679102657	0.722030463754485	3.76663228579327e-05	0.5877039561301	1	*
In(3R)Mo_exterior	0.666666666666667	543	0.05	0.0202299043011468	In(3R)Mo	exterior	3R	0.627016054236419	0.706317279096915	3.1696135246879e-15	0.631849675686107	1	*
In(3R)P_exterior	0.641095890410959	365	0.05	0.0251075467402275	In(3R)P	exterior	3R	0.591885098800113	0.690306682021805	3.86253900382522e-08	0.597677638801391	1	*
In(2L)t_interior	0.83377308707124	379	0.05	0.0191229549131227	In(2L)t	interior	2L	0.796292095441519	0.87125407870096	6.16832837347786e-42	0.799074302593655	1	*
In(2R)NS_interior	0.666666666666667	39	0.05	0.0754851356096397	In(2R)NS	interior	2R	0.518715800871773	0.814617532461561	0.0266259570489639	0.523111945380792	1	*
In(3L)P_interior	0.589928057553957	139	0.05	0.0417178726138879	In(3L)P	interior	3L	0.508161027230737	0.671695087877177	0.0206988973262004	0.516752824560451	1	*
In(3R)K_interior	0.681379310344828	725	0.05	0.0173046354474981	In(3R)K	interior	3R	0.647462224867732	0.715296395821924	3.76708540441389e-23	0.651711281301965	1	*
In(3R)Mo_interior	0.723646723646724	351	0.05	0.0238694301390427	In(3R)Mo	interior	3R	0.6768626405742	0.770430806719248	1.20125674115048e-17	0.681639246149079	1	*
In(3R)P_interior	0.698795180722892	498	0.05	0.0205584911527235	In(3R)P	interior	3R	0.658500538063554	0.73908982338223	1.80353348931294e-19	0.663153137192349	1	*
In(3R)KMoP_bkpts	0.790613718411552	277	0.05	0.0244464837062371	In(3R)KMoP	bkpts	3R	0.742698610347327	0.838528826475777	1.76517479076689e-23	0.746349687192513	1	*
In(3R)KMoP_exterior	0.658823529411765	85	0.05	0.0514238542158598	In(3R)KMoP	exterior	3R	0.55803277514868	0.75961428367485	0.00225582020417761	0.565085359325084	1	*
In(3R)KMoP_interior	0.649350649350649	616	0.05	0.0192258612163569	In(3R)KMoP	interior	3R	0.61166796136659	0.687033337334709	5.50079614843539e-14	0.616429099432676	1	*
all_bkpts	0.805555555555556	468	0.05	0.0182945862379506	all	bkpts	all	0.769698166529173	0.841412944581939	1.06295503197935e-42	0.772985975856582	1	*
all_exterior	0.574338085539715	491	0.05	0.022313898796663	all	exterior	all	0.530602843898256	0.618073327181174	0.000567707890049276	0.536355346251632	1	*
all_interior	0.702472293265132	1173	0.05	0.0133484027308358	all	interior	all	0.676309423912694	0.72863516261757	4.49015478426369e-45	0.679728536024606	1	*
all_all	0.695590994371482	2132	0.05	0.00996579899393949	all	all	all	0.676058028343361	0.715123960399603	5.64864132543558e-75	0.678771339497366	1	*
2L_all	0.806770098730606	709	0.05	0.0148282174171354	2L	all	2L	0.777706792593021	0.835833404868191	2.59328679288136e-64	0.780741118477317	1	*
2R_all	0.552763819095477	199	0.05	0.0352461537439336	2R	all	2R	0.483681357757367	0.621846280433587	0.078042737883855	0.49197709255387	1	
3L_all	0.51219512195122	246	0.05	0.0318693521379628	3L	all	3L	0.449731191760813	0.574659052141627	0.37498053106222	0.457846207772215	1	
3R_all	0.690184049079755	978	0.05	0.0147864840274246	3R	all	3R	0.661202540386003	0.719165557773507	1.52885166959976e-33	0.664947080360978	1	*
In(2L)t_bkpts	0.885441527446301	419	0.1	0.0155591740520968	In(2L)t	bkpts	2L	0.854945546304191	0.915937508588411	3.05160450307684e-63	0.856597328426459	1	*
In(2R)NS_bkpts	0.608	125	0.1	0.0436656386647442	In(2R)NS	bkpts	2R	0.522415348217101	0.693584651782899	0.00983869724643298	0.530804172420545	1	*
In(3L)P_bkpts	0.429824561403509	114	0.1	0.0463657662408745	In(3L)P	bkpts	3L	0.338947659571395	0.520701463235623	0.944530344057694	0.351261081851664	1	
In(3R)K_bkpts	0.816733067729084	251	0.1	0.0244199777635404	In(3R)K	bkpts	3R	0.768869911312545	0.864596224145623	1.92603400495534e-25	0.771832957657514	1	*
In(3R)Mo_bkpts	0.682758620689655	290	0.1	0.0273293631758713	In(3R)Mo	bkpts	3R	0.629193068864947	0.736324172514363	2.26282736333914e-10	0.634819506948179	1	*
In(3R)P_bkpts	0.793893129770992	393	0.1	0.0204047360336785	In(3R)P	bkpts	3R	0.753899847144982	0.833886412397002	2.25699359097329e-33	0.757451529252909	1	*
In(2L)t_exterior	0.657360406091371	788	0.1	0.0169066450830108	In(2L)t	exterior	2L	0.62422338172867	0.690497430454072	3.56735856997098e-19	0.628510933006153	1	*
In(2R)NS_exterior	0.493993993993994	666	0.1	0.0193732086410805	In(2R)NS	exterior	2R	0.456022505057476	0.531965482930512	0.636344414227979	0.461443659176527	1	
In(3L)P_exterior	0.391428571428571	350	0.1	0.0260884344872238	In(3L)P	exterior	3L	0.340295239833612	0.44256190302353	0.999981997325023	0.34789567227675	1	
In(3R)K_exterior	0.607407407407407	675	0.1	0.0187957303596881	In(3R)K	exterior	3R	0.570567775902418	0.644247038912396	1.32404794855266e-08	0.575444329993563	1	*
In(3R)Mo_exterior	0.65552016985138	1884	0.1	0.0109479922048333	In(3R)Mo	exterior	3R	0.634062105129907	0.676978234572853	2.31728736549527e-42	0.637075974130243	1	*
In(3R)P_exterior	0.623873873873874	1332	0.1	0.0132728148914898	In(3R)P	exterior	3R	0.597859156686554	0.649888591061194	6.47274196656509e-20	0.601479009222422	1	*
In(2L)t_interior	0.802469135802469	1539	0.1	0.0101487450094899	In(2L)t	interior	2L	0.782577595583869	0.822360676021069	2.52556733311754e-133	0.785028300028838	1	*
