L.gr fdr.gr obs.gr exp.gr L.less fdr.less obs.less exp.less exp.tot obs.tot fdr.tot seas.tot
20 1.00056484381561 221102 221226.88809732 20 1.00112630260623 220978 221226.88809732 442453.776194639 442080 1.00084549446851 -373.776194639388
21 0.998160238858635 181105 180771.810058493 21 0.99893244582374 180965 180771.810058493 361543.620116986 362070 0.998546193048268 526.379883013782
22 0.993929687386804 144846 143966.739499229 22 0.99693744502925 144409 143966.739499229 287933.478998458 289255 0.995431294181459 1321.52100154199
23 0.988583577015536 113121 111829.562815574 23 0.992144460059215 112715 111829.562815574 223659.125631149 225836 0.990360817722369 2176.87436885119
24 0.985043336142792 86089 84801.3957651968 24 0.987199168405453 85901 84801.3957651968 169602.791530394 171990 0.98612007401822 2387.20846960632
25 0.979192161897109 64174 62838.6777975851 25 0.983098574720898 63919 62838.6777975851 125677.35559517 128093 0.981141479980718 2415.64440482983
26 0.976423575173125 46648 45548.2069346759 26 0.979173354573079 46517 45548.2069346759 91096.4138693518 93165 0.97779653163046 2068.58613064817
27 0.970320397236069 33317 32328.1646747141 27 0.968518070484859 33379 32328.1646747141 64656.3293494282 66696 0.969418396147118 2039.6706505718
28 0.958501569399555 23464 22490.2808243911 28 0.965869908713384 23285 22490.2808243911 44980.5616487823 46749 0.962171632522242 1768.4383512177
29 0.947830218691972 16196 15351.0582219352 29 0.957108187663519 16039 15351.0582219352 30702.1164438704 32235 0.952446609085478 1532.88355612963
30 0.942922271293968 10913 10290.1107466311 30 0.950148730067504 10830 10290.1107466311 20580.2214932621 21743 0.946521707826065 1162.77850673786
31 0.926482597329572 7318 6779.99964725781 31 0.944158146115835 7181 6779.99964725781 13559.9992945156 14499 0.935236864233093 939.000705484383
32 0.909138446187576 4834 4394.77524887074 32 0.940863893999303 4671 4394.77524887074 8789.55049774149 9505 0.924729142318936 715.449502258512
33 0.893508814049048 3139 2804.72416729996 33 0.929948331332879 3016 2804.72416729996 5609.44833459993 6155 0.9113644735337 545.551665400074
34 0.84710729582579 2082 1763.67738990929 34 0.92194322525316 1913 1763.67738990929 3527.35477981859 3995 0.882942372920798 467.645220181412
35 0.841829283741349 1299 1093.53623958001 35 0.923594796942578 1184 1093.53623958001 2187.07247916002 2483 0.88081855785744 295.927520839975
36 0.812874143381607 823 668.995420003063 36 0.952984928779291 702 668.995420003063 1337.99084000613 1525 0.877371042626967 187.009159993875
37 0.786138584890003 514 404.075232633462 37 0.957524247946592 422 404.075232633462 808.150465266923 936 0.863408616738166 127.849534733077
38 0.780276378357143 309 241.105400912357 38 0.964421603649428 250 241.105400912357 482.210801824714 559 0.86263113027677 76.7891981752858
39 0.807951745181665 176 142.199507151973 39 0.973969227068308 146 142.199507151973 284.399014303946 322 0.883226752496727 37.600985696054
40 0.855047243364292 97 82.9395826063363 40 1.07713743644593 77 82.9395826063363 165.879165212673 174 0.953328535705015 8.12083478732731
41 0.886373787346181 54 47.8641845166938 41 0.957283690333876 50 47.8641845166938 95.7283690333876 104 0.920465086859496 8.27163096661241
42 0.804202327854822 34 27.3428791470639 42 0.828572095365574 33 27.3428791470639 54.6857582941279 67 0.816205347673551 12.3142417058721
43 0.859365440693481 18 15.4685779324827 43 1.03123852883218 15 15.4685779324827 30.9371558649653 33 0.937489571665615 2.06284413503469
44 0.963303944576228 9 8.66973550118605 44 0.788157772835096 11 8.66973550118605 17.3394710023721 20 0.866973550118605 2.6605289976279
45 0.802649275608065 6 4.81589565364839 45 0.601986956706049 8 4.81589565364839 9.63179130729678 14 0.687985093378342 4.36820869270322
46 0.884096497530074 3 2.65228949259022 46 0.663072373147555 4 2.65228949259022 5.30457898518044 7 0.75779699788292 1.69542101481956
47 Inf 0 1.44872308470083 47 0.482907694900277 3 1.44872308470083 2.89744616940166 3 0.965815389800555 0.102553830598336
NA NA NA NA 48 0.392536557550491 2 0.785073115100982 NA NA NA NA
NA NA NA NA 49 0.422208571202794 1 0.422208571202794 NA NA NA NA
NA NA NA NA 50 0.225403654565644 1 0.225403654565644 NA NA NA NA
NA NA NA NA 51 Inf 0 0.119489535067054 NA NA NA NA
